ALEXBANK,https://eg.linkedin.com/company/bank-of-alexandria?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/customer-service-officer-at-alexbank-4299158288?position=1&pageNum=0&refId=m%2FjPcrxKno%2FWJrUCLxhvBg%3D%3D&trackingId=QaYBesBWPh4X6ezh8LU4nA%3D%3D,Customer Service Officer,"Are you passionate about delivering excellent customer experiences and building trust with clients? Join our team as a Customer Service Officer, where you will play a key role in supporting our customers, handling their banking needs, and ensuring top-quality service.",Full-Time,Remote,"Customer Experience, Banking, Quality Of Services",Customer Service
Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=pucompany,company url,location,job_link,job title,job description,employment type,job flexibility,hard_skills,soft_skills
blic_jobs_sub-nav-cta-optional-url,"6th of October, Cairo, Egypt",https://eg.linkedin.com/jobs/view/assistant-team-leader-business-partner-at-juhayna-food-industries-4297171903?position=2&pageNum=0&refId=m%2FjPcrxKno%2FWJrUCLxhvBg%3D%3D&trackingId=Lz1pCaLheePr1pZm3SqCWg%3D%3D,Assistant Team Leader - Business Partner,Maintains an updated organizational structure of the business account.,Full-Time,Hybrid,Organizational Structure,
Energean,https://uk.linkedin.com/company/energean?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Cairo, Egypt",https://eg.linkedin.com/jobs/view/accountant-at-energean-4280018638?position=3&pageNum=0&refId=m%2FjPcrxKno%2FWJrUCLxhvBg%3D%3D&trackingId=RDmD5CwS3184kGsni04OzA%3D%3D,Accountant,"Energean is an independent E&P company focused on developing resources in the Mediterranean and UK North Sea. With presence in nine countries Energean is operating production, development and exploration assets with an excellent HSE track record.",Full-Time,On-Site,Track (Rail Transport),Operations
Aujan Coca-Cola Beverages Company (ACCBC),https://ae.linkedin.com/company/aujan-industries?trk=public_jobs_sub-nav-cta-optional-url,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/finance-data-entry-specialist-at-aujan-coca-cola-beverages-company-accbc-4298754127?position=4&pageNum=0&refId=m%2FjPcrxKno%2FWJrUCLxhvBg%3D%3D&trackingId=Amm62P%2BKs5YYoXS0Zv0KsQ%3D%3D,Finance Data Entry Specialist,"Accurately record and process vendor invoices, employee expense claims, and customer receipts in the accounting system.",Contract,,"Accounting Systems, Claims Processing",
Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_sub-nav-cta-optional-url,"6th of October, Cairo, Egypt",https://eg.linkedin.com/jobs/view/team-leader-maintenance-at-juhayna-food-industries-4297158919?position=8&pageNum=0&refId=m%2FjPcrxKno%2FWJrUCLxhvBg%3D%3D&trackingId=9Ld49Zwx7qoSeUJiuOQkpw%3D%3D,Team Leader - Maintenance,"Lead and assign Implementation of maintenance activities to achieve maintenance schedule,",Full-Time,,,Scheduling
Unilever,https://uk.linkedin.com/company/unilever?trk=public_jobs_sub-nav-cta-optional-url,"6th of October, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/single-skilled-craft-r-m-at-unilever-4302099290?position=9&pageNum=0&refId=m%2FjPcrxKno%2FWJrUCLxhvBg%3D%3D&trackingId=fSgJfhm%2BeZSxwF8W7LRVDQ%3D%3D,Single Skilled Craft - R&M,"n individual you are the one responsible for your own wellbeing and delivering high standards of work. You must also focus on the Consumer and what they need. You are humble and have your head up, looking around to interpret evidence and data smartly, spot issues and opportunities to make things better.",Full-Time,Hybrid,,
Wadi Degla Developments,https://eg.linkedin.com/company/wadi-degla-developments?trk=public_jobs_sub-nav-cta-optional-url,"Cairo, Egypt",https://eg.linkedin.com/jobs/view/sales-consultant-at-wadi-degla-developments-4298595496?position=10&pageNum=0&refId=m%2FjPcrxKno%2FWJrUCLxhvBg%3D%3D&trackingId=qnuVA8TpXlSKutCABENt6w%3D%3D,Sales Consultant,Build and maintain a robust client database.,Full-Time,Remote,,
Al-Mansour Automotive,https://eg.linkedin.com/company/al-mansour-automotive?trk=public_jobs_sub-nav-cta-optional-url,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/executive-assistant-at-al-mansour-automotive-4297403413?position=2&pageNum=1&refId=tmq9BNsQeGCsYSv7fP7zcA%3D%3D&trackingId=CFt%2FqoO5AYe%2BCCicmjaQXQ%3D%3D,Executive Assistant,"The Executive Assistant will provide high-level administrative support to the executive team, ensuring smooth and efficient office operations. This role involves handling office-management duties, making travel arrangements, managing calendar events, organizing reports and documents, answering phone calls, setting up meetings, screening visitors, and other related tasks.",Full-Time,On-Site,"Office Management, High-Level Architecture, General Administrative Support","Operations, Management"
Aujan Coca-Cola Beverages Company (ACCBC),https://ae.linkedin.com/company/aujan-industries?trk=public_jobs_sub-nav-cta-optional-url,"Giza, Al Jizah, Egypt",https://eg.linkedin.com/jobs/view/hr-coordinator-at-aujan-coca-cola-beverages-company-accbc-4301794533?position=3&pageNum=1&refId=tmq9BNsQeGCsYSv7fP7zcA%3D%3D&trackingId=1kQWFaOiw8n4q6aHL9xUNg%3D%3D,HR Coordinator,"plays a vital role in supporting the Human Resources team by ensuring efficient execution of operational HR activities. This position provides administrative support across various HR functions including recruitment coordination, employee lifecycle processes, facilities & events management, and compliance-related tasks.",Contract,On-Site,"Event Management, Human Resource Management, General Administrative Support, Process Lifecycle","Operations, Coordinating"
